week,matched_bucket,yt_videos,yt_avg_views,yt_avg_likes,yt_total_comments,yt_avg_engagement,views_per_video
2026-02-16/2026-02-22,Environment and Outdoors,11,8908444.181818182,67215.72727272728,11394,0.012438964834074183,8908444.181818182
2026-02-16/2026-02-22,Film and TV,408,2477721.7720588236,39592.08823529412,221736,inf,2477721.7720588236
2026-02-16/2026-02-22,Gaming,211,370277.04265402845,6719.649289099526,42531,0.022875416506112578,370277.04265402845
2026-02-16/2026-02-22,Health and Fitness,48,2534831.0208333335,58085.666666666664,25462,0.026279330191976914,2534831.0208333335
2026-02-16/2026-02-22,Industry and Operations,4,2908204.25,22696.5,2666,0.026967124735531853,2908204.25
2026-02-16/2026-02-22,Lifestyle and Hobbies,154,2629181.3571428573,38447.57142857143,85130,0.014988051953757285,2629181.3571428573
2026-02-16/2026-02-22,Music,458,2039048.1615720524,32954.41484716157,907600,0.02585201053873297,2039048.1615720524
2026-02-16/2026-02-22,Other,629,4622436.346581876,67400.15103338633,417689,0.018682117469422617,4622436.346581876
2026-02-16/2026-02-22,People and Society,31,1339132.0322580645,27411.25806451613,9845,0.02228148094062411,1339132.0322580645
2026-02-16/2026-02-22,Politics and World News,4,1980653.0,38839.25,755,0.0167526514623919,1980653.0
2026-02-16/2026-02-22,Science and Education,67,227105.20895522388,3475.208955223881,8155,0.02178236282656867,227105.20895522388
2026-02-16/2026-02-22,Sports,57,4103555.210526316,58290.12280701754,46702,0.021659802090501133,4103555.210526316
2026-02-16/2026-02-22,Technology,33,3036214.878787879,46301.969696969696,15343,0.03614950688663657,3036214.878787879
2026-02-23/2026-03-01,Automotive and Transport,45,984117.2,9941.2,2479,0.014948644631791444,984117.2
2026-02-23/2026-03-01,Books and Publishing,1,896176.0,0.0,418,0.0004664262377033,896176.0
2026-02-23/2026-03-01,Business and Finance,9,7064.666666666667,40.888888888888886,9,0.013217494659205867,7064.666666666667
2026-02-23/2026-03-01,Environment and Outdoors,3,8023856.0,95611.0,449,0.011446216653626702,8023856.0
2026-02-23/2026-03-01,Film and TV,469,409469.95735607675,6760.886993603412,67749,0.015559384169384372,409469.95735607675
2026-02-23/2026-03-01,Gaming,340,116261.46470588235,2090.8382352941176,34502,0.020179534812668164,116261.46470588235
